Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender_Male,Subscription Type_Premium,Subscription Type_Standard,Contract Length_Monthly,Contract Length_Quarterly
22,25,14,4,27,598,9,,False,False,False,True,False
41,28,28,7,13,584,20,,False,False,True,True,False
47,27,10,2,29,757,21,,True,True,False,False,False
35,9,12,5,17,232,18,,True,True,False,False,True
53,58,24,9,2,533,18,,False,False,True,False,False
30,41,14,10,10,500,29,,True,True,False,True,False
47,37,15,9,28,574,14,,False,False,False,False,True
54,36,11,0,18,323,16,,False,False,True,True,False
36,20,5,10,8,687,8,,True,False,False,True,False
65,8,4,2,23,995,10,,True,False,False,False,False
46,42,27,9,21,526,3,,False,False,True,False,False
56,13,23,5,14,187,1,,True,False,False,False,True
31,2,7,0,25,758,24,,True,True,False,False,True
42,46,27,5,8,438,30,,True,True,False,False,True
59,21,17,2,14,663,15,,True,True,False,False,True
35,1,3,7,3,677,25,,False,False,False,True,False
29,54,3,6,2,636,22,,True,False,False,True,False
45,9,30,4,25,127,18,,True,False,False,False,False
65,40,2,1,6,396,21,,False,True,False,False,False
62,39,19,2,15,202,24,,True,True,False,False,True
48,28,7,1,21,925,13,,True,True,False,True,False
36,58,4,0,1,463,26,,False,True,False,False,True
55,50,28,0,17,449,3,,True,False,True,False,True
36,54,20,4,1,373,25,,False,False,False,True,False
64,59,7,5,9,460,12,,True,False,False,False,False
65,58,7,3,30,166,1,,False,True,False,False,False
53,58,18,8,4,615,4,,False,False,False,False,True
41,60,7,7,0,696,20,,False,True,False,False,False
25,41,11,5,11,678,30,,False,True,False,False,False
44,44,7,8,16,792,27,,False,False,False,False,True
28,23,8,8,0,812,3,,False,False,False,False,False
34,26,3,0,2,156,15,,True,False,False,False,False
24,1,7,0,3,611,4,,True,False,True,False,False
27,41,8,1,7,943,12,,False,True,False,True,False
31,31,6,2,29,329,6,,False,False,True,False,True
46,30,10,4,16,493,1,,True,False,True,True,False
59,44,17,3,2,636,30,,True,False,False,False,True
56,27,15,8,24,384,6,,False,False,True,True,False
27,44,21,3,22,515,1,,False,True,False,False,False
42,51,10,9,11,820,17,,True,False,False,True,False
29,28,23,7,16,1000,26,,False,False,False,False,True
36,45,24,5,2,405,4,,True,True,False,False,True
61,19,2,7,2,879,4,,True,True,False,True,False
57,2,26,5,14,771,4,,True,True,False,True,False
56,9,16,1,22,600,17,,True,True,False,True,False
42,14,14,8,12,825,19,,False,False,False,True,False
36,24,21,8,29,231,8,,False,False,False,True,False
37,13,26,2,26,259,15,,True,False,False,False,True
51,15,26,10,25,244,1,,False,False,False,False,True
57,46,30,2,21,705,5,,False,False,True,False,False
47,47,4,7,3,136,14,,False,False,True,True,False
29,3,5,0,23,843,6,,True,False,True,True,False
45,17,4,5,23,402,8,,False,False,True,False,False
18,22,21,3,30,919,3,,False,True,False,False,False
27,57,4,10,20,699,4,,True,True,False,False,False
23,34,20,3,26,733,1,,True,False,False,False,False
60,24,11,9,10,563,10,,True,False,True,True,False
57,24,28,3,24,448,12,,True,True,False,False,False
28,29,3,2,21,172,2,,False,True,False,False,True
64,39,25,2,9,933,9,,False,False,True,False,True
30,57,21,8,24,576,6,,True,False,True,False,False
18,57,16,10,2,657,26,,False,False,False,False,True
24,13,25,9,27,843,29,,True,True,False,False,True
40,54,7,0,15,731,27,,True,False,True,False,False
26,33,27,1,23,665,5,,False,False,False,False,True
41,35,4,6,16,546,26,,True,False,True,False,False
64,19,27,2,0,579,14,,False,False,False,True,False
42,34,2,7,17,757,25,,True,True,False,False,False
24,28,13,0,27,515,27,,True,True,False,False,True
